toyokumo_id,nest_level,prefectures_name,zone_name,region_name,city_name
462,2,三重県,三重,三重県南部,伊勢市、尾鷲市、鳥羽市、熊野市、志摩市、多気郡の一部（大台町）、度会郡［玉城町、度会町、大紀町、南伊勢町］、北牟婁郡［紀北町］、南牟婁郡［御浜町、紀宝町］
500,2,滋賀県,滋賀,滋賀県北部,彦根市、長浜市、高島市、米原市、愛知郡［愛荘町］、犬上郡［豊郷町、甲良町、多賀町］
501,2,滋賀県,滋賀,滋賀県南部,大津市、近江八幡市、草津市、守山市、栗東市、甲賀市、野洲市、湖南市、東近江市、蒲生郡［日野町、竜王町］
510,2,京都府,京都,京都府北部,福知山市、舞鶴市、綾部市、宮津市、京丹後市、与謝郡［伊根町、与謝野町］
511,2,京都府,京都,京都府南部,京都市、宇治市、亀岡市、城陽市、向日市、長岡京市、八幡市、京田辺市、南丹市、木津川市、乙訓郡［大山崎町］、久世郡［久御山町］、綴喜郡［井手町、宇治田原町］、相楽郡［笠置町、和束町、精華町、南山城村］、船井郡［京丹波町］
520,2,大阪府,大阪,大阪府北部,大阪市、豊中市、池田市、吹田市、高槻市、守口市、枚方市、茨木市、八尾市、寝屋川市、大東市、箕面市、柏原市、門真市、摂津市、東大阪市、四條畷市、交野市、三島郡［島本町］、豊能郡［豊能町、能勢町］
521,2,大阪府,大阪,大阪府南部,堺市、岸和田市、泉大津市、貝塚市、泉佐野市、富田林市、河内長野市、松原市、和泉市、羽曳野市、高石市、藤井寺市、泉南市、大阪狭山市、阪南市、泉北郡［忠岡町］、泉南郡［熊取町、田尻町、岬町］、南河内郡［太子町、河南町、千早赤阪村］
530,2,兵庫県,兵庫,兵庫県北部,豊岡市、養父市、朝来市、美方郡［香美町、新温泉町］
531,2,兵庫県,兵庫,兵庫県南東部,神戸市、尼崎市、明石市、西宮市、芦屋市、伊丹市、加古川市、西脇市、宝塚市、三木市、高砂市、川西市、小野市、三田市、加西市、丹波篠山市、丹波市、加東市、川辺郡［猪名川町］、多可郡［多可町］、加古郡［稲美町、播磨町］
532,2,兵庫県,兵庫,兵庫県南西部,姫路市、相生市、赤穂市、宍粟市、たつの市、神崎郡［市川町、福崎町、神河町］、揖保郡［太子町］、赤穂郡［上郡町］、佐用郡［佐用町］
535,2,兵庫県,兵庫,兵庫県淡路島,洲本市、南あわじ市、淡路市
29,2,奈良県,奈良,奈良県,奈良県全域
550,2,和歌山県,和歌山,和歌山県北部,和歌山市、海南市、橋本市、有田市、御坊市、紀の川市、岩出市、海草郡［紀美野町］、伊都郡［かつらぎ町、九度山町、高野町］、有田郡［湯浅町、広川町、有田川町］、日高郡［美浜町、日高町、由良町、印南町、みなべ町、日高川町］
551,2,和歌山県,和歌山,和歌山県南部,田辺市、新宮市、西牟婁郡［白浜町、上富田町、すさみ町］、東牟婁郡［那智勝浦町、太地町、古座川町、北山村、串本町］
560,2,鳥取県,鳥取,鳥取県東部,鳥取市、岩美郡［岩美町］、八頭郡［若桜町、智頭町、八頭町］
562,2,鳥取県,鳥取,鳥取県中部,倉吉市、東伯郡［三朝町、湯梨浜町、琴浦町、北栄町］
563,2,鳥取県,鳥取,鳥取県西部,米子市、境港市、西伯郡［日吉津村、大山町、南部町、伯耆町］、日野郡［日南町、日野町、江府町］
570,2,島根県,島根,島根県東部,松江市、出雲市、安来市、雲南市、仁多郡［奥出雲町］、飯石郡［飯南町］
571,2,島根県,島根,島根県西部,浜田市、益田市、大田市、江津市、邑智郡［川本町、美郷町、邑南町］、鹿足郡［津和野町、吉賀町］
575,2,島根県,島根,島根県隠岐,隠岐郡［海士町、西ノ島町、知夫村、隠岐の島町］
580,2,岡山県,岡山,岡山県北部,津山市、新見市、真庭市、美作市、真庭郡［新庄村］、苫田郡［鏡野町］、勝田郡［勝央町、奈義町］、英田郡［西粟倉村］、久米郡［久米南町、美咲町］
581,2,岡山県,岡山,岡山県南部,岡山市、倉敷市、玉野市、笠岡市、井原市、総社市、高梁市、備前市、瀬戸内市、赤磐市、浅口市、和気郡［和気町］、都窪郡［早島町］、浅口郡［里庄町］、小田郡［矢掛町］、加賀郡［吉備中央町］
590,2,広島県,広島,広島県北部,三次市、庄原市、安芸高田市、山県郡［安芸太田町、北広島町］
591,2,広島県,広島,広島県南東部,三原市、尾道市、福山市、府中市、世羅郡［世羅町］、神石郡［神石高原町］
592,2,広島県,広島,広島県南西部,広島市、呉市、竹原市、大竹市、東広島市、廿日市市、江田島市、安芸郡［府中町、海田町、熊野町、坂町］、豊田郡［大崎上島町］
700,2,山口県,山口,山口県北部,萩市、長門市、美祢市、阿武郡［阿武町］
703,2,山口県,山口,山口県東部,岩国市、光市、柳井市、大島郡［周防大島町］、玖珂郡［和木町］、熊毛郡［上関町、田布施町、平生町］
704,2,山口県,山口,山口県中部,山口市、防府市、下松市、周南市
702,2,山口県,山口,山口県西部,下関市、宇部市、山陽小野田市
600,2,徳島県,徳島,徳島県北部,徳島市、鳴門市、小松島市、吉野川市、阿波市、美馬市、三好市、名東郡［佐那河内村］、名西郡［石井町、神山町］、板野郡［松茂町、北島町、藍住町、板野町、上板町］、美馬郡［つるぎ町］、三好郡［東みよし町］
601,2,徳島県,徳島,徳島県南部,阿南市、勝浦郡［勝浦町、上勝町］、那賀郡［那賀町］、海部郡［牟岐町、美波町、海陽町］
610,2,香川県,香川,香川県東部,高松市、さぬき市、東かがわ市、小豆郡［土庄町、小豆島町］、木田郡［三木町］、香川郡［直島町］
611,2,香川県,香川,香川県西部,丸亀市、坂出市、善通寺市、観音寺市、三豊市、綾歌郡［宇多津町、綾川町］、仲多度郡［琴平町、多度津町、まんのう町］
620,2,愛媛県,愛媛,愛媛県東予,今治市、新居浜市、西条市、四国中央市、越智郡［上島町］
621,2,愛媛県,愛媛,愛媛県中予,松山市、伊予市、東温市、上浮穴郡［久万高原町］、伊予郡［松前町、砥部町］
622,2,愛媛県,愛媛,愛媛県南予,宇和島市、八幡浜市、大洲市、西予市、喜多郡［内子町］、西宇和郡［伊方町］、北宇和郡［松野町、鬼北町］、南宇和郡［愛南町］
630,2,高知県,高知,高知県東部,室戸市、安芸市、安芸郡［東洋町、奈半利町、田野町、安田町、北川村、馬路村、芸西村］
631,2,高知県,高知,高知県中部,高知市、南国市、土佐市、須崎市、香南市、香美市、長岡郡［本山町、大豊町］、土佐郡［土佐町、大川村］、吾川郡［いの町、仁淀川町］、高岡郡の一部（佐川町、越知町、日高村）
632,2,高知県,高知,高知県西部,宿毛市、土佐清水市、四万十市、高岡郡の一部（中土佐町、四万十町、梼原町、津野町）、幡多郡［大月町、三原村、黒潮町］
